@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R64-65-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R4-6,10-12,16-18,28-30,34-36,40-42,58-61,74-83,92-121-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R41-42,44'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute accz9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute MeanMagnitude numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
0.32441,1.87705,9.29309,0.51056,1.98,9.3308,0.20949,1.91776,9.31105,-0.08499,1.99617,9.25119,0.09517,1.96923,9.33679,0.07961,1.87286,9.32362,0.12091,1.96384,9.33499,0.07661,1.91177,9.32482,0.10594,1.92195,9.3739,-0.06883,1.90279,9.30447,0.136888,1.931342,9.318472,-0.017654,-0.000764,-0.016126,0.281484,0.016901,0.009322,0.175416,9.519064,0.51056,1.99617,9.3739,-0.01069,0.08216,0.0391,Sitting
0.1239,1.98,9.35893,0.00599,1.92494,9.36612,-0.03472,1.96444,9.32841,-0.05567,1.9824,9.2913,-0.01317,1.8986,9.36731,-0.03831,1.94409,9.32781,-0.07901,2.00634,9.29788,-0.00658,1.96325,9.34756,-0.01736,1.89381,9.30387,-0.02933,1.92793,9.34696,-0.014426,1.94858,9.333615,-0.024862,-0.003269,-0.006323,0.026699,0.012437,0.007218,0.068084,9.535071,0.1239,2.00634,9.36731,-0.01863,0.0226,0.00641,Sitting
0.01556,1.93691,9.30866,0.02873,1.90878,9.36253,-0.09397,1.96025,9.31404,-0.08978,1.86927,9.31165,0.03531,1.94589,9.30626,0.05327,1.94888,9.3751,-0.09218,1.95606,9.27574,0.08739,1.84473,9.33858,0.00359,1.9399,9.34098,0.02155,1.91656,9.31883,-0.003053,1.922723,9.325237,-0.022542,-0.012736,0.004094,0.038561,0.013409,0.007739,0.077272,9.521669,0.08739,1.96025,9.3751,-0.01405,0.07941,0.01833,Sitting
0.05567,1.95187,9.36911,0.22685,1.64063,9.20092,-0.09158,1.93511,9.1662,-0.0814,1.93392,9.21768,0.06943,1.92374,9.38348,0.05387,1.91716,9.3721,0.02274,2.12126,9.2919,-0.09996,1.97342,9.28471,0.0425,1.83755,9.32661,-0.08021,1.93212,9.3332,0.011791,1.916678,9.294591,-0.013042,-0.044931,0.014601,0.094654,0.129701,0.053257,0.166617,9.491292,0.22685,2.12126,9.38348,0.03024,0.00977,0.11729,Sitting
0.01796,1.9405,9.34397,0.14006,1.93033,9.33559,-0.24241,2.00694,9.29369,0.10355,1.79565,9.39365,0.15083,1.8974,9.3727,0.26276,2.12186,9.3332,-0.13886,1.83456,9.29609,0.05088,1.85491,9.32781,0.02155,2.01233,9.35295,0.10235,1.82678,9.29728,0.046867,1.922126,9.334693,-0.020006,-0.012219,0.009407,0.192063,0.093513,0.009961,0.171912,9.532133,0.26276,2.12186,9.39365,0.00092,0.08033,0.05651,Sitting
0.19393,1.87227,9.32601,0.00419,1.96265,9.31225,-0.08021,1.95726,9.32063,0.06584,1.88663,9.3302,0.13946,1.97881,9.28292,-0.01796,1.84234,9.3338,0.07123,1.95786,9.36731,0.07961,1.89681,9.35235,0.05207,1.90997,9.3338,0.03053,1.93272,9.33978,0.053869,1.919732,9.329905,-0.020281,-0.019546,-0.008489,0.054203,0.018322,0.004651,0.08785,9.525898,0.19393,1.97881,9.36731,-0.00275,0.04704,0.05651,Sitting
-0.00958,1.88843,9.34996,0.02155,1.94409,9.35295,-0.01556,1.95187,9.33858,0.05626,1.90818,9.3739,0.00718,1.95307,9.33978,-0.01856,1.92075,9.3314,0.00958,1.87286,9.3332,-0.11193,1.76453,9.30626,0.18016,1.85251,9.37629,-0.14066,1.78009,9.32003,-0.002156,1.883638,9.342235,-0.022907,-0.009529,-0.002688,0.069176,0.041127,0.004343,0.107073,9.530798,0.18016,1.95307,9.37629,-0.01558,0.02413,0.0055,Sitting
0.17478,1.89262,9.35834,0.12031,1.96504,9.36851,-0.37828,2.03747,9.28352,0.17478,1.8172,9.32961,-0.06644,1.8567,9.31105,-0.02454,1.94589,9.332,0.03292,1.92853,9.33739,-0.02574,2.09792,9.32063,0.0431,1.96444,9.40203,0.11732,1.84294,9.36133,0.016821,1.934875,9.340441,-0.021106,-0.00507,0.000856,0.238221,0.069251,0.010032,0.178187,9.540369,0.17478,2.09792,9.40203,-0.00641,0.07453,0.02841,Sitting
0.14664,1.81361,9.34098,-0.14006,1.91177,9.30985,0.11791,1.88962,9.332,0.04489,1.89202,9.34277,-0.14605,1.90159,9.31165,0.02035,1.93212,9.34098,0.02035,1.90279,9.36013,-0.07661,1.91057,9.33439,0.00718,1.88304,9.34457,-0.05387,1.90878,9.31524,-0.005927,1.894591,9.333256,-0.02251,-0.01805,-0.003909,0.087668,0.008999,0.002402,0.099534,9.52412,0.14664,1.93212,9.36013,-0.01313,0.06597,0.02627,Sitting
-0.04848,1.93033,9.34636,-0.07781,1.91357,9.32841,-0.06285,1.90698,9.3332,-0.06704,1.90818,9.31404,-0.0425,1.95008,9.32961,-0.03412,1.91596,9.31165,-0.0814,1.91955,9.30447,-0.05507,1.86089,9.31464,-0.01197,1.91716,9.35474,-0.01437,1.94888,9.29609,-0.049561,1.917158,9.323321,-0.023457,-0.010903,0.003544,0.005265,0.005634,0.003076,0.037383,9.518579,-0.01197,1.95008,9.35474,-0.01985,0.00367,0.01283,Sitting
