@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.2455,-0.7063,9.8924,sitting
-0.0661,-0.5915,9.8972,sitting
-0.0014,-0.625,9.8852,sitting
-0.0708,-0.6609,9.9116,sitting
-0.0804,-0.6035,9.8996,sitting
-0.0589,-0.5915,9.8948,sitting
-0.0325,-0.6058,9.8805,sitting
-0.0565,-0.5436,9.9068,sitting
-0.0517,-0.5987,9.8972,sitting
-0.023,-0.6082,9.8805,sitting
-0.011,-0.6106,9.8805,sitting
-0.0613,-0.6226,9.9044,sitting
-0.0469,-0.6106,9.9235,sitting
-0.0373,-0.5939,9.89,sitting
-0.1546,-0.5987,9.8948,sitting
-0.0421,-0.5915,9.9187,sitting
-0.0637,-0.5795,9.8924,sitting
-0.0565,-0.5747,9.8829,sitting
-0.0206,-0.613,9.8613,sitting
-0.0661,-0.5819,9.9044,sitting
-0.0589,-0.5963,9.914,sitting
-0.0589,-0.6202,9.9068,sitting
-0.0637,-0.5915,9.9092,sitting
-0.0637,-0.5747,9.9068,sitting
-0.0756,-0.5628,9.7369,sitting
-0.1067,-0.5412,9.9283,sitting
-0.0469,-0.4048,10.0168,sitting
-0.2264,-0.8332,9.8374,sitting
0.0703,-1.4098,9.6699,sitting
-1.6046,0.4015,9.366,sitting
-0.4776,1.2558,10.5337,sitting
1.3864,-2.477,9.1937,sitting
-1.5137,0.6289,10.2226,sitting
-0.9466,0.5092,9.5479,sitting
0.0488,0.3585,9.6412,sitting
-0.6882,-0.4264,9.7991,sitting
-1.5616,0.1311,10.0121,sitting
-0.4968,-0.4886,9.7919,sitting
-0.5087,-0.2158,9.9834,sitting
-0.1378,-0.1249,9.8876,sitting
-0.157,-0.1967,9.9857,sitting
-0.2766,0.2173,9.9881,sitting
0.6518,0.0665,10.45,sitting
-1.0232,-0.0962,9.7441,sitting
0.1876,-0.1081,9.9259,sitting
0.4101,-0.1416,9.9546,sitting
-0.2312,-0.0818,9.8876,sitting
0.3479,-0.156,9.8685,sitting
-0.346,-0.1249,9.8924,sitting
-0.8078,-0.3881,9.768,sitting
0.2522,0.2675,9.7034,sitting
-0.6547,-0.9073,9.9379,sitting
-0.2216,-0.0411,10.024,sitting
0.1708,-0.345,9.847,sitting
-0.614,-0.7351,9.6196,sitting
-1.1117,0.0307,9.5861,sitting
-1.016,-0.7733,9.6819,sitting
-0.3532,-0.0005,9.7034,sitting
-1.1141,-0.424,9.7201,sitting
-0.1307,0.2891,10.517,sitting
-0.8342,-0.3091,9.7345,sitting
-0.1402,-0.2397,11.3855,sitting
-0.7193,-0.1512,9.8709,sitting
0.5034,-0.1727,9.4665,sitting
-0.7648,-0.3259,9.7513,sitting
0.1062,-0.0363,10.6366,sitting
-0.6882,-0.211,9.8781,sitting
-0.1426,-0.3666,10.304,sitting
-0.626,-0.1201,9.8757,sitting
-0.3915,-0.3546,9.9642,sitting
-0.9466,0.5044,10.1102,sitting
-0.2742,-0.2828,10.0958,sitting
-0.6619,-0.2206,9.8972,sitting
-0.2742,-0.2015,9.8661,sitting
-0.5901,-0.1273,9.8852,sitting
-0.425,-0.3378,9.8757,sitting
-0.4298,-0.235,9.9475,sitting
-0.5039,-0.2972,9.8805,sitting
